theta;f;class
40;0.82;longe
40;0.83;perto
40;0.84;perto
40;0.85;acertou
40;0.86;acertou
40;0.87;muito perto
40;0.88;longe
40;0.89;perto
40;0.9;perto
40;0.91;perto
40;0.92;perto
40;0.93;perto
40;0.94;perto
40;0.95;perto
40;0.96;perto
40;0.97;perto
40;0.98;perto
40;0.99;muito perto
41;0.5;longe
41;0.51;longe
41;0.52;longe
41;0.53;longe
41;0.54;longe
41;0.55;longe
41;0.56;longe
41;0.57;longe
41;0.58;longe
41;0.59;longe
41;0.6;longe
41;0.61;longe
41;0.62;longe
41;0.63;longe
41;0.64;longe
41;0.65;longe
41;0.66;longe
41;0.67;longe
41;0.68;longe
41;0.69;longe
41;0.7;longe
41;0.71;longe
41;0.72;longe
41;0.73;longe
41;0.74;perto
41;0.75;perto
41;0.76;perto
41;0.77;perto
41;0.78;perto
41;0.79;perto
41;0.8;muito perto
41;0.81;muito perto
41;0.82;longe
41;0.83;perto
41;0.84;muito perto
41;0.85;acertou
41;0.86;acertou
41;0.87;perto
41;0.88;longe
41;0.89;perto
41;0.9;muito perto
41;0.91;perto
41;0.92;perto
41;0.93;perto
41;0.94;perto
41;0.95;perto
41;0.96;perto
41;0.97;perto
41;0.98;perto
41;0.99;muito perto
42;0.5;longe
42;0.51;longe
42;0.52;longe
42;0.53;longe
42;0.54;longe
42;0.55;longe
42;0.56;longe
42;0.57;longe
42;0.58;longe
42;0.59;longe
42;0.6;longe
42;0.61;longe
42;0.62;longe
42;0.63;longe
42;0.64;longe
42;0.65;longe
42;0.66;longe
42;0.67;longe
42;0.68;longe
42;0.69;longe
42;0.7;longe
42;0.71;longe
42;0.72;longe
42;0.73;longe
42;0.74;perto
42;0.75;perto
42;0.76;perto
42;0.77;perto
42;0.78;perto
42;0.79;perto
42;0.8;muito perto
42;0.81;perto
42;0.82;longe
42;0.83;acertou
42;0.84;perto
42;0.85;acertou
42;0.86;acertou
42;0.87;perto
42;0.88;muito perto
42;0.89;acertou
42;0.9;muito perto
42;0.91;perto
42;0.92;perto
42;0.93;perto
42;0.94;perto
42;0.95;perto
42;0.96;perto
42;0.97;perto
42;0.98;perto
42;0.99;muito perto
43;0.5;longe
43;0.51;longe
43;0.52;longe
43;0.53;longe
43;0.54;longe
43;0.55;longe
43;0.56;longe
43;0.57;longe
43;0.58;longe
43;0.59;longe
43;0.6;longe
43;0.61;longe
43;0.62;longe
43;0.63;longe
43;0.64;longe
43;0.65;longe
43;0.66;longe
43;0.67;longe
43;0.68;longe
43;0.69;longe
43;0.7;longe
43;0.71;longe
43;0.72;longe
43;0.73;longe
43;0.74;perto
43;0.75;perto
43;0.76;perto
43;0.77;perto
43;0.78;perto
43;0.79;perto
43;0.8;muito perto
43;0.81;perto
43;0.82;longe
43;0.83;muito perto
43;0.84;acertou
43;0.85;acertou
43;0.86;acertou
43;0.87;longe
43;0.88;perto
43;0.89;acertou
43;0.9;muito perto
43;0.91;perto
43;0.92;perto
43;0.93;perto
43;0.94;perto
43;0.95;perto
43;0.96;perto
43;0.97;perto
43;0.98;perto
43;0.99;muito perto
44;0.5;longe
44;0.51;longe
44;0.52;longe
44;0.53;longe
44;0.54;longe
44;0.55;longe
44;0.56;longe
44;0.57;longe
44;0.58;longe
44;0.59;longe
44;0.6;longe
44;0.61;longe
44;0.62;longe
44;0.63;longe
44;0.64;longe
44;0.65;longe
44;0.66;longe
44;0.67;longe
44;0.68;longe
44;0.69;longe
44;0.7;longe
44;0.71;longe
44;0.72;longe
44;0.73;longe
44;0.74;perto
44;0.75;perto
44;0.76;perto
44;0.77;perto
44;0.78;perto
44;0.79;muito perto
44;0.8;muito perto
44;0.81;longe
44;0.82;longe
44;0.83;muito perto
44;0.84;perto
44;0.85;acertou
44;0.86;acertou
44;0.87;longe
44;0.88;muito perto
44;0.89;perto
44;0.9;perto
44;0.91;perto
44;0.92;perto
44;0.93;perto
44;0.94;perto
44;0.95;perto
44;0.96;perto
44;0.97;perto
44;0.98;muito perto
44;0.99;perto
45;0.5;longe
45;0.51;longe
45;0.52;longe
45;0.53;longe
45;0.54;longe
45;0.55;longe
45;0.56;longe
45;0.57;longe
45;0.58;longe
45;0.59;longe
45;0.6;longe
45;0.61;longe
45;0.62;longe
45;0.63;longe
45;0.64;longe
45;0.65;longe
45;0.66;longe
45;0.67;longe
45;0.68;longe
45;0.69;longe
45;0.7;longe
45;0.71;longe
45;0.72;longe
45;0.73;perto
45;0.74;perto
45;0.75;perto
45;0.76;perto
45;0.77;perto
45;0.78;perto
45;0.79;muito perto
45;0.8;muito perto
45;0.81;muito perto
45;0.82;longe
45;0.83;muito perto
45;0.84;acertou
45;0.85;acertou
45;0.86;acertou
45;0.87;longe
45;0.88;perto
45;0.89;muito perto
45;0.9;perto
45;0.91;perto
45;0.92;perto
45;0.93;perto
45;0.94;perto
45;0.95;perto
45;0.96;perto
45;0.97;perto
45;0.98;muito perto
45;0.99;perto
46;0.5;longe
46;0.51;longe
46;0.52;longe
46;0.53;longe
46;0.54;longe
46;0.55;longe
46;0.56;longe
46;0.57;longe
46;0.58;longe
46;0.59;longe
46;0.6;longe
46;0.61;longe
46;0.62;longe
46;0.63;longe
46;0.64;longe
46;0.65;longe
46;0.66;longe
46;0.67;longe
46;0.68;longe
46;0.69;longe
46;0.7;longe
46;0.71;longe
46;0.72;longe
46;0.73;perto
46;0.74;perto
46;0.75;perto
46;0.76;perto
46;0.77;perto
46;0.78;perto
46;0.79;muito perto
46;0.8;muito perto
46;0.81;perto
46;0.82;longe
46;0.83;perto
46;0.84;acertou
46;0.85;acertou
46;0.86;acertou
46;0.87;longe
46;0.88;muito perto
46;0.89;acertou
46;0.9;muito perto
46;0.91;perto
46;0.92;perto
46;0.93;perto
46;0.94;perto
46;0.95;perto
46;0.96;perto
46;0.97;muito perto
46;0.98;muito perto
46;0.99;muito perto
47;0.5;longe
47;0.51;longe
47;0.52;longe
47;0.53;longe
47;0.54;longe
47;0.55;longe
47;0.56;longe
47;0.57;longe
47;0.58;longe
47;0.59;longe
47;0.6;longe
47;0.61;longe
47;0.62;longe
47;0.63;longe
47;0.64;longe
47;0.65;longe
47;0.66;longe
47;0.67;longe
47;0.68;longe
47;0.69;longe
47;0.7;longe
47;0.71;longe
47;0.72;longe
47;0.73;perto
47;0.74;perto
47;0.75;perto
47;0.76;perto
47;0.77;perto
47;0.78;perto
47;0.79;perto
47;0.8;muito perto
47;0.81;perto
47;0.82;longe
47;0.83;perto
47;0.84;perto
47;0.85;acertou
47;0.86;acertou
47;0.87;longe
47;0.88;perto
47;0.89;perto
47;0.9;perto
47;0.91;perto
47;0.92;perto
47;0.93;perto
47;0.94;perto
47;0.95;perto
47;0.96;perto
47;0.97;perto
47;0.98;muito perto
47;0.99;perto
48;0.5;longe
48;0.51;longe
48;0.52;longe
48;0.53;longe
48;0.54;longe
48;0.55;longe
48;0.56;longe
48;0.57;longe
48;0.58;longe
48;0.59;longe
48;0.6;longe
48;0.61;longe
48;0.62;longe
48;0.63;longe
48;0.64;longe
48;0.65;longe
48;0.66;longe
48;0.67;longe
48;0.68;longe
48;0.69;longe
48;0.7;longe
48;0.71;longe
48;0.72;longe
48;0.73;longe
48;0.74;perto
48;0.75;perto
48;0.76;perto
48;0.77;perto
48;0.78;perto
48;0.79;perto
48;0.8;muito perto
48;0.81;perto
48;0.82;longe
48;0.83;muito perto
48;0.84;perto
48;0.85;acertou
48;0.86;acertou
48;0.87;longe
48;0.88;acertou
48;0.89;acertou
48;0.9;muito perto
48;0.91;perto
48;0.92;perto
48;0.93;perto
48;0.94;perto
48;0.95;perto
48;0.96;perto
48;0.97;perto
48;0.98;muito perto
48;0.99;muito perto
49;0.5;longe
49;0.51;longe
49;0.52;longe
49;0.53;longe
49;0.54;longe
49;0.55;longe
49;0.56;longe
49;0.57;longe
49;0.58;longe
49;0.59;longe
49;0.6;longe
49;0.61;longe
49;0.62;longe
49;0.63;longe
49;0.64;longe
49;0.65;longe
49;0.66;longe
49;0.67;longe
49;0.68;longe
49;0.69;longe
49;0.7;longe
49;0.71;longe
49;0.72;longe
49;0.73;longe
49;0.74;perto
49;0.75;perto
49;0.76;perto
49;0.77;perto
49;0.78;perto
49;0.79;perto
49;0.8;muito perto
49;0.81;perto
49;0.82;longe
49;0.83;perto
49;0.84;acertou
49;0.85;acertou
49;0.86;acertou
49;0.87;longe
49;0.88;muito perto
49;0.89;acertou
49;0.9;muito perto
49;0.91;perto
49;0.92;perto
49;0.93;perto
49;0.94;perto
49;0.95;perto
49;0.96;perto
49;0.97;perto
49;0.98;muito perto
49;0.99;muito perto
50;0.5;longe
50;0.51;longe
50;0.52;longe
50;0.53;longe
50;0.54;longe
50;0.55;longe
50;0.56;longe
50;0.57;longe
50;0.58;longe
50;0.59;longe
50;0.6;longe
50;0.61;longe
50;0.62;longe
50;0.63;longe
50;0.64;longe
50;0.65;longe
50;0.66;longe
50;0.67;longe
50;0.68;longe
50;0.69;longe
50;0.7;longe
50;0.71;longe
50;0.72;longe
50;0.73;longe
50;0.74;perto
50;0.75;perto
50;0.76;perto
50;0.77;perto
50;0.78;perto
50;0.79;perto
50;0.8;muito perto
50;0.81;muito perto
50;0.82;longe
50;0.83;acertou
50;0.84;perto
50;0.85;acertou
50;0.86;acertou
50;0.87;perto
50;0.88;perto
50;0.89;perto
50;0.9;muito perto
50;0.91;perto
50;0.92;perto
50;0.93;perto
50;0.94;perto
50;0.95;perto
50;0.96;perto
50;0.97;perto
50;0.98;muito perto
50;0.99;muito perto
51;0.5;longe
51;0.51;longe
51;0.52;longe
51;0.53;longe
51;0.54;longe
51;0.55;longe
51;0.56;longe
51;0.57;longe
51;0.58;longe
51;0.59;longe
51;0.6;longe
51;0.61;longe
51;0.62;longe
51;0.63;longe
51;0.64;longe
51;0.65;longe
51;0.66;longe
51;0.67;longe
51;0.68;longe
51;0.69;longe
51;0.7;longe
51;0.71;longe
51;0.72;longe
51;0.73;longe
51;0.74;perto
51;0.75;perto
51;0.76;perto
51;0.77;perto
51;0.78;perto
51;0.79;perto
51;0.8;muito perto
51;0.81;muito perto
51;0.82;longe
51;0.83;perto
51;0.84;muito perto
51;0.85;acertou
51;0.86;acertou
51;0.87;perto
51;0.88;longe
51;0.89;acertou
51;0.9;perto
51;0.91;perto
51;0.92;perto
51;0.93;perto
51;0.94;perto
51;0.95;perto
51;0.96;perto
51;0.97;perto
51;0.98;muito perto
51;0.99;muito perto
52;0.5;longe
52;0.51;longe
52;0.52;longe
52;0.53;longe
52;0.54;longe
52;0.55;longe
52;0.56;longe
52;0.57;longe
52;0.58;longe
52;0.59;longe
52;0.6;longe
52;0.61;longe
52;0.62;longe
52;0.63;longe
52;0.64;longe
52;0.65;longe
52;0.66;longe
52;0.67;longe
52;0.68;longe
52;0.69;longe
52;0.7;longe
52;0.71;longe
52;0.72;longe
52;0.73;longe
52;0.74;perto
52;0.75;perto
52;0.76;perto
52;0.77;perto
52;0.78;perto
52;0.79;perto
52;0.8;perto
52;0.81;muito perto
52;0.82;longe
52;0.83;longe
52;0.84;perto
52;0.85;perto
52;0.86;acertou
52;0.87;acertou
52;0.88;longe
52;0.89;perto
52;0.9;muito perto
52;0.91;perto
52;0.92;perto
52;0.93;perto
52;0.94;perto
52;0.95;perto
52;0.96;perto
52;0.97;perto
52;0.98;perto
52;0.99;muito perto
53;0.5;longe
53;0.51;longe
53;0.52;longe
53;0.53;longe
53;0.54;longe
53;0.55;longe
53;0.56;longe
53;0.57;longe
53;0.58;longe
53;0.59;longe
53;0.6;longe
53;0.61;longe
53;0.62;longe
53;0.63;longe
53;0.64;longe
53;0.65;longe
53;0.66;longe
53;0.67;longe
53;0.68;longe
53;0.69;longe
53;0.7;longe
53;0.71;longe
53;0.72;longe
53;0.73;longe
53;0.74;longe
53;0.75;perto
53;0.76;perto
53;0.77;perto
53;0.78;perto
53;0.79;perto
53;0.8;perto
53;0.81;muito perto
53;0.82;muito perto
53;0.83;longe
53;0.84;muito perto
53;0.85;perto
53;0.86;acertou
53;0.87;acertou
53;0.88;perto
53;0.89;perto
53;0.9;acertou
53;0.91;muito perto
53;0.92;perto
53;0.93;perto
53;0.94;perto
53;0.95;perto
53;0.96;perto
53;0.97;perto
53;0.98;perto
53;0.99;perto
54;0.5;longe
54;0.51;longe
54;0.52;longe
54;0.53;longe
54;0.54;longe
54;0.55;longe
54;0.56;longe
54;0.57;longe
54;0.58;longe
54;0.59;longe
54;0.6;longe
54;0.61;longe
54;0.62;longe
54;0.63;longe
54;0.64;longe
54;0.65;longe
54;0.66;longe
54;0.67;longe
54;0.68;longe
54;0.69;longe
54;0.7;longe
54;0.71;longe
54;0.72;longe
54;0.73;longe
54;0.74;longe
54;0.75;perto
54;0.76;perto
54;0.77;perto
54;0.78;perto
54;0.79;perto
54;0.8;perto
54;0.81;muito perto
54;0.82;muito perto
54;0.83;longe
54;0.84;longe
54;0.85;muito perto
54;0.86;acertou
54;0.87;acertou
54;0.88;acertou
54;0.89;longe
54;0.9;perto
54;0.91;perto
54;0.92;perto
54;0.93;perto
54;0.94;perto
54;0.95;perto
54;0.96;perto
54;0.97;perto
54;0.98;perto
54;0.99;perto
55;0.5;longe
55;0.51;longe
55;0.52;longe
55;0.53;longe
55;0.54;longe
55;0.55;longe
55;0.56;longe
55;0.57;longe
55;0.58;longe
55;0.59;longe
55;0.6;longe
55;0.61;longe
55;0.62;longe
55;0.63;longe
55;0.64;longe
55;0.65;longe
55;0.66;longe
55;0.67;longe
55;0.68;longe
55;0.69;longe
55;0.7;longe
55;0.71;longe
55;0.72;longe
55;0.73;longe
55;0.74;longe
55;0.75;longe
55;0.76;perto
55;0.77;perto
55;0.78;perto
55;0.79;perto
55;0.8;perto
55;0.81;perto
55;0.82;muito perto
55;0.83;muito perto
55;0.84;longe
55;0.85;muito perto
55;0.86;perto
55;0.87;acertou
55;0.88;acertou
55;0.89;perto
55;0.9;acertou
55;0.91;acertou
55;0.92;muito perto
55;0.93;perto
55;0.94;perto
55;0.95;perto
55;0.96;perto
55;0.97;perto
55;0.98;perto
55;0.99;perto
56;0.5;longe
56;0.51;longe
56;0.52;longe
56;0.53;longe
56;0.54;longe
56;0.55;longe
56;0.56;longe
56;0.57;longe
56;0.58;longe
56;0.59;longe
56;0.6;longe
56;0.61;longe
56;0.62;longe
56;0.63;longe
56;0.64;longe
56;0.65;longe
56;0.66;longe
56;0.67;longe
56;0.68;longe
56;0.69;longe
56;0.7;longe
56;0.71;longe
56;0.72;longe
56;0.73;longe
56;0.74;longe
56;0.75;longe
56;0.76;perto
56;0.77;perto
56;0.78;perto
56;0.79;perto
56;0.8;perto
56;0.81;perto
56;0.82;muito perto
56;0.83;muito perto
56;0.84;longe
56;0.85;muito perto
56;0.86;muito perto
56;0.87;acertou
56;0.88;acertou
56;0.89;acertou
56;0.9;longe
56;0.91;muito perto
56;0.92;acertou
56;0.93;muito perto
56;0.94;perto
56;0.95;perto
56;0.96;perto
56;0.97;perto
56;0.98;perto
56;0.99;perto
57;0.5;longe
57;0.51;longe
57;0.52;longe
57;0.53;longe
57;0.54;longe
57;0.55;longe
57;0.56;longe
57;0.57;longe
57;0.58;longe
57;0.59;longe
57;0.6;longe
57;0.61;longe
57;0.62;longe
57;0.63;longe
57;0.64;longe
57;0.65;longe
57;0.66;longe
57;0.67;longe
57;0.68;longe
57;0.69;longe
57;0.7;longe
57;0.71;longe
57;0.72;longe
57;0.73;longe
57;0.74;longe
57;0.75;longe
57;0.76;longe
57;0.77;perto
57;0.78;perto
57;0.79;perto
57;0.8;perto
57;0.81;perto
57;0.82;perto
57;0.83;muito perto
57;0.84;muito perto
57;0.85;longe
57;0.86;acertou
57;0.87;muito perto
57;0.88;acertou
57;0.89;acertou
57;0.9;acertou
57;0.91;longe
57;0.92;perto
57;0.93;muito perto
57;0.94;perto
57;0.95;perto
57;0.96;perto
57;0.97;perto
57;0.98;perto
57;0.99;perto
58;0.5;longe
58;0.51;longe
58;0.52;longe
58;0.53;longe
58;0.54;longe
58;0.55;longe
58;0.56;longe
58;0.57;longe
58;0.58;longe
58;0.59;longe
58;0.6;longe
58;0.61;longe
58;0.62;longe
58;0.63;longe
58;0.64;longe
58;0.65;longe
58;0.66;longe
58;0.67;longe
58;0.68;longe
58;0.69;longe
58;0.7;longe
58;0.71;longe
58;0.72;longe
58;0.73;longe
58;0.74;longe
58;0.75;longe
58;0.76;longe
58;0.77;perto
58;0.78;perto
58;0.79;perto
58;0.8;perto
58;0.81;perto
58;0.82;perto
58;0.83;perto
58;0.84;muito perto
58;0.85;longe
58;0.86;longe
58;0.87;perto
58;0.88;acertou
58;0.89;acertou
58;0.9;acertou
58;0.91;perto
58;0.92;acertou
58;0.93;acertou
58;0.94;muito perto
58;0.95;perto
58;0.96;perto
58;0.97;perto
58;0.98;perto
58;0.99;perto
59;0.5;longe
59;0.51;longe
59;0.52;longe
59;0.53;longe
59;0.54;longe
59;0.55;longe
59;0.56;longe
59;0.57;longe
59;0.58;longe
59;0.59;longe
59;0.6;longe
59;0.61;longe
59;0.62;longe
59;0.63;longe
59;0.64;longe
59;0.65;longe
59;0.66;longe
59;0.67;longe
59;0.68;longe
59;0.69;longe
59;0.7;longe
59;0.71;longe
59;0.72;longe
59;0.73;longe
59;0.74;longe
59;0.75;longe
59;0.76;longe
59;0.77;longe
59;0.78;perto
59;0.79;perto
59;0.8;perto
59;0.81;perto
59;0.82;perto
59;0.83;perto
59;0.84;muito perto
59;0.85;muito perto
59;0.86;longe
59;0.87;longe
59;0.88;muito perto
59;0.89;acertou
59;0.9;acertou
59;0.91;acertou
59;0.92;longe
59;0.93;perto
59;0.94;perto
59;0.95;muito perto
59;0.96;perto
59;0.97;perto
59;0.98;perto
59;0.99;perto
60;0.5;longe
60;0.51;longe
60;0.52;longe
60;0.53;longe
60;0.54;longe
60;0.55;longe
60;0.56;longe
60;0.57;longe
60;0.58;longe
60;0.59;longe
60;0.6;longe
60;0.61;longe
60;0.62;longe
60;0.63;longe
60;0.64;longe
60;0.65;longe
60;0.66;longe
60;0.67;longe
60;0.68;longe
60;0.69;longe
60;0.7;longe
60;0.71;longe
60;0.72;longe
60;0.73;longe
60;0.74;longe
60;0.75;longe
60;0.76;longe
60;0.77;longe
60;0.78;perto
60;0.79;perto
60;0.8;perto
60;0.81;perto
60;0.82;perto
60;0.83;perto
60;0.84;perto
60;0.85;muito perto
60;0.86;muito perto
60;0.87;longe
60;0.88;perto
60;0.89;perto
60;0.9;acertou
60;0.91;acertou
60;0.92;acertou
60;0.93;longe
60;0.94;perto
60;0.95;perto
60;0.96;muito perto
60;0.97;perto
60;0.98;perto
60;0.99;perto
61;0.5;longe
61;0.51;longe
61;0.52;longe
61;0.53;longe
61;0.54;longe
61;0.55;longe
61;0.56;longe
61;0.57;longe
61;0.58;longe
61;0.59;longe
61;0.6;longe
61;0.61;longe
61;0.62;longe
61;0.63;longe
61;0.64;longe
61;0.65;longe
61;0.66;longe
61;0.67;longe
61;0.68;longe
61;0.69;longe
61;0.7;longe
61;0.71;longe
61;0.72;longe
61;0.73;longe
61;0.74;longe
61;0.75;longe
61;0.76;longe
61;0.77;longe
61;0.78;longe
61;0.79;perto
61;0.8;perto
61;0.81;perto
61;0.82;perto
61;0.83;perto
61;0.84;perto
61;0.85;perto
61;0.86;muito perto
61;0.87;muito perto
61;0.88;longe
61;0.89;acertou
61;0.9;perto
61;0.91;acertou
61;0.92;acertou
61;0.93;acertou
61;0.94;longe
61;0.95;perto
61;0.96;perto
61;0.97;muito perto
61;0.98;perto
61;0.99;perto
62;0.5;longe
62;0.51;longe
62;0.52;longe
62;0.53;longe
62;0.54;longe
62;0.55;longe
62;0.56;longe
62;0.57;longe
62;0.58;longe
62;0.59;longe
62;0.6;longe
62;0.61;longe
62;0.62;longe
62;0.63;longe
62;0.64;longe
62;0.65;longe
62;0.66;longe
62;0.67;longe
62;0.68;longe
62;0.69;longe
62;0.7;longe
62;0.71;longe
62;0.72;longe
62;0.73;longe
62;0.74;longe
62;0.75;longe
62;0.76;longe
62;0.77;longe
62;0.78;longe
62;0.79;longe
62;0.8;perto
62;0.81;perto
62;0.82;perto
62;0.83;perto
62;0.84;perto
62;0.85;perto
62;0.86;perto
62;0.87;muito perto
62;0.88;perto
62;0.89;longe
62;0.9;acertou
62;0.91;perto
62;0.92;acertou
62;0.93;acertou
62;0.94;acertou
62;0.95;longe
62;0.96;muito perto
62;0.97;perto
62;0.98;muito perto
62;0.99;perto
63;0.5;longe
63;0.51;longe
63;0.52;longe
63;0.53;longe
63;0.54;longe
63;0.55;longe
63;0.56;longe
63;0.57;longe
63;0.58;longe
63;0.59;longe
63;0.6;longe
63;0.61;longe
63;0.62;longe
63;0.63;longe
63;0.64;longe
63;0.65;longe
63;0.66;longe
63;0.67;longe
63;0.68;longe
63;0.69;longe
63;0.7;longe
63;0.71;longe
63;0.72;longe
63;0.73;longe
63;0.74;longe
63;0.75;longe
63;0.76;longe
63;0.77;longe
63;0.78;longe
63;0.79;longe
63;0.8;longe
63;0.81;perto
63;0.82;perto
63;0.83;perto
63;0.84;perto
63;0.85;perto
63;0.86;perto
63;0.87;perto
63;0.88;muito perto
63;0.89;perto
63;0.9;longe
63;0.91;perto
63;0.92;perto
63;0.93;acertou
63;0.94;acertou
63;0.95;acertou
63;0.96;longe
63;0.97;perto
63;0.98;perto
63;0.99;muito perto
64;0.5;longe
64;0.51;longe
64;0.52;longe
64;0.53;longe
64;0.54;longe
64;0.55;longe
64;0.56;longe
64;0.57;longe
64;0.58;longe
64;0.59;longe
64;0.6;longe
64;0.61;longe
64;0.62;longe
64;0.63;longe
64;0.64;longe
64;0.65;longe
64;0.66;longe
64;0.67;longe
64;0.68;longe
64;0.69;longe
64;0.7;longe
64;0.71;longe
64;0.72;longe
64;0.73;longe
64;0.74;longe
64;0.75;longe
64;0.76;longe
64;0.77;longe
64;0.78;longe
64;0.79;longe
64;0.8;longe
64;0.81;longe
64;0.82;perto
64;0.83;perto
64;0.84;perto
64;0.85;perto
64;0.86;perto
64;0.87;perto
64;0.88;perto
64;0.89;muito perto
64;0.9;muito perto
64;0.91;perto
64;0.92;perto
64;0.93;muito perto
64;0.94;acertou
64;0.95;acertou
64;0.96;acertou
64;0.97;longe
64;0.98;perto
64;0.99;acertou
65;0.5;longe
65;0.51;longe
65;0.52;longe
65;0.53;longe
65;0.54;longe
65;0.55;longe
65;0.56;longe
65;0.57;longe
65;0.58;longe
65;0.59;longe
65;0.6;longe
65;0.61;longe
65;0.62;longe
65;0.63;longe
65;0.64;longe
65;0.65;longe
65;0.66;longe
65;0.67;longe
65;0.68;longe
65;0.69;longe
65;0.7;longe
65;0.71;longe
65;0.72;longe
65;0.73;longe
65;0.74;longe
65;0.75;longe
65;0.76;longe
65;0.77;longe
65;0.78;longe
65;0.79;longe
65;0.8;longe
65;0.81;longe
65;0.82;longe
65;0.83;perto
65;0.84;perto
65;0.85;perto
65;0.86;perto
65;0.87;perto
65;0.88;perto
65;0.89;perto
65;0.9;perto
65;0.91;muito perto
65;0.92;muito perto
65;0.93;longe
65;0.94;muito perto
65;0.95;acertou
65;0.96;acertou
65;0.97;acertou
65;0.98;acertou
65;0.99;longe
66;0.5;longe
66;0.51;longe
66;0.52;longe
66;0.53;longe
66;0.54;longe
66;0.55;longe
66;0.56;longe
66;0.57;longe
66;0.58;longe
66;0.59;longe
66;0.6;longe
66;0.61;longe
66;0.62;longe
66;0.63;longe
66;0.64;longe
66;0.65;longe
66;0.66;longe
66;0.67;longe
66;0.68;longe
66;0.69;longe
66;0.7;longe
66;0.71;longe
66;0.72;longe
66;0.73;longe
66;0.74;longe
66;0.75;longe
66;0.76;longe
66;0.77;longe
66;0.78;longe
66;0.79;longe
66;0.8;longe
66;0.81;longe
66;0.82;longe
66;0.83;longe
66;0.84;longe
66;0.85;perto
66;0.86;perto
66;0.87;perto
66;0.88;perto
66;0.89;perto
66;0.9;perto
66;0.91;perto
66;0.92;muito perto
66;0.93;muito perto
66;0.94;longe
66;0.95;perto
66;0.96;acertou
66;0.97;acertou
66;0.98;acertou
66;0.99;acertou
67;0.5;longe
67;0.51;longe
67;0.52;longe
67;0.53;longe
67;0.54;longe
67;0.55;longe
67;0.56;longe
67;0.57;longe
67;0.58;longe
67;0.59;longe
67;0.6;longe
67;0.61;longe
67;0.62;longe
67;0.63;longe
67;0.64;longe
67;0.65;longe
67;0.66;longe
67;0.67;longe
67;0.68;longe
67;0.69;longe
67;0.7;longe
67;0.71;longe
67;0.72;longe
67;0.73;longe
67;0.74;longe
67;0.75;longe
67;0.76;longe
67;0.77;longe
67;0.78;longe
67;0.79;longe
67;0.8;longe
67;0.81;longe
67;0.82;longe
67;0.83;longe
67;0.84;longe
67;0.85;longe
67;0.86;perto
67;0.87;perto
67;0.88;perto
67;0.89;perto
67;0.9;perto
67;0.91;perto
67;0.92;perto
67;0.93;muito perto
67;0.94;muito perto
67;0.95;muito perto
67;0.96;longe
67;0.97;acertou
67;0.98;acertou
67;0.99;acertou
68;0.5;longe
68;0.51;longe
68;0.52;longe
68;0.53;longe
68;0.54;longe
68;0.55;longe
68;0.56;longe
68;0.57;longe
68;0.58;longe
68;0.59;longe
68;0.6;longe
68;0.61;longe
68;0.62;longe
68;0.63;longe
68;0.64;longe
68;0.65;longe
68;0.66;longe
68;0.67;longe
68;0.68;longe
68;0.69;longe
68;0.7;longe
68;0.71;longe
68;0.72;longe
68;0.73;longe
68;0.74;longe
68;0.75;longe
68;0.76;longe
68;0.77;longe
68;0.78;longe
68;0.79;longe
68;0.8;longe
68;0.81;longe
68;0.82;longe
68;0.83;longe
68;0.84;longe
68;0.85;longe
68;0.86;longe
68;0.87;longe
68;0.88;perto
68;0.89;perto
68;0.9;perto
68;0.91;perto
68;0.92;perto
68;0.93;perto
68;0.94;perto
68;0.95;muito perto
68;0.96;muito perto
68;0.97;longe
68;0.98;perto
68;0.99;acertou
69;0.5;longe
69;0.51;longe
69;0.52;longe
69;0.53;longe
69;0.54;longe
69;0.55;longe
69;0.56;longe
69;0.57;longe
69;0.58;longe
69;0.59;longe
69;0.6;longe
69;0.61;longe
69;0.62;longe
69;0.63;longe
69;0.64;longe
69;0.65;longe
69;0.66;longe
69;0.67;longe
69;0.68;longe
69;0.69;longe
69;0.7;longe
69;0.71;longe
69;0.72;longe
69;0.73;longe
69;0.74;longe
69;0.75;longe
69;0.76;longe
69;0.77;longe
69;0.78;longe
69;0.79;longe
69;0.8;longe
69;0.81;longe
69;0.82;longe
69;0.83;longe
69;0.84;longe
69;0.85;longe
69;0.86;longe
69;0.87;longe
69;0.88;longe
69;0.89;perto
69;0.9;perto
69;0.91;perto
69;0.92;perto
69;0.93;perto
69;0.94;perto
69;0.95;perto
69;0.96;perto
69;0.97;muito perto
69;0.98;muito perto
69;0.99;longe
70;0.5;longe
70;0.51;longe
70;0.52;longe
70;0.53;longe
70;0.54;longe
70;0.55;longe
70;0.56;longe
70;0.57;longe
70;0.58;longe
70;0.59;longe
70;0.6;longe
70;0.61;longe
70;0.62;longe
70;0.63;longe
70;0.64;longe
70;0.65;longe
70;0.66;longe
70;0.67;longe
70;0.68;longe
70;0.69;longe
70;0.7;longe
70;0.71;longe
70;0.72;longe
70;0.73;longe
70;0.74;longe
70;0.75;longe
70;0.76;longe
70;0.77;longe
70;0.78;longe
70;0.79;longe
70;0.8;longe
70;0.81;longe
70;0.82;longe
70;0.83;longe
70;0.84;longe
70;0.85;longe
70;0.86;longe
70;0.87;longe
70;0.88;longe
70;0.89;longe
70;0.9;longe
70;0.91;perto
70;0.92;perto
70;0.93;perto
70;0.94;perto
70;0.95;perto
70;0.96;perto
70;0.97;perto
70;0.98;muito perto
70;0.99;muito perto
71;0.5;longe
