theta;force;class
0.0;0.0;longe
0.0;0.00333333333333;longe
0.0;0.00666666666667;longe
0.0;0.01;longe
0.0;0.0133333333333;longe
0.0;0.0166666666667;longe
0.0;0.02;longe
0.0;0.0233333333333;longe
0.0;0.0266666666667;longe
0.0;0.03;longe
0.0;0.0333333333333;longe
0.0;0.0366666666667;longe
0.0;0.04;longe
0.0;0.0433333333333;longe
0.0;0.0466666666667;longe
0.0;0.05;longe
0.0;0.0533333333333;longe
0.0;0.0566666666667;longe
0.0;0.06;longe
0.0;0.0633333333333;longe
0.0;0.0666666666667;longe
0.0;0.07;longe
0.0;0.0733333333333;longe
0.0;0.0766666666667;longe
0.0;0.08;longe
0.0;0.0833333333333;longe
0.0;0.0866666666667;longe
0.0;0.09;longe
0.0;0.0933333333333;longe
0.0;0.0966666666667;longe
0.0;0.1;longe
0.0;0.103333333333;longe
0.0;0.106666666667;longe
0.0;0.11;longe
0.0;0.113333333333;longe
0.0;0.116666666667;longe
0.0;0.12;longe
0.0;0.123333333333;longe
0.0;0.126666666667;longe
0.0;0.13;longe
0.0;0.133333333333;longe
0.0;0.136666666667;longe
0.0;0.14;longe
0.0;0.143333333333;longe
0.0;0.146666666667;longe
0.0;0.15;longe
0.0;0.153333333333;longe
0.0;0.156666666667;longe
0.0;0.16;longe
0.0;0.163333333333;longe
0.0;0.166666666667;longe
0.0;0.17;longe
0.0;0.173333333333;longe
0.0;0.176666666667;longe
0.0;0.18;longe
0.0;0.183333333333;longe
0.0;0.186666666667;longe
0.0;0.19;longe
0.0;0.193333333333;longe
0.0;0.196666666667;longe
0.0;0.2;longe
0.0;0.203333333333;longe
0.0;0.206666666667;longe
0.0;0.21;longe
0.0;0.213333333333;longe
0.0;0.216666666667;longe
0.0;0.22;longe
0.0;0.223333333333;longe
0.0;0.226666666667;longe
0.0;0.23;longe
0.0;0.233333333333;longe
0.0;0.236666666667;longe
0.0;0.24;longe
0.0;0.243333333333;longe
0.0;0.246666666667;longe
0.0;0.25;longe
0.0;0.253333333333;longe
0.0;0.256666666667;longe
0.0;0.26;longe
0.0;0.263333333333;longe
0.0;0.266666666667;longe
0.0;0.27;longe
0.0;0.273333333333;longe
0.0;0.276666666667;longe
0.0;0.28;longe
0.0;0.283333333333;longe
0.0;0.286666666667;longe
0.0;0.29;longe
0.0;0.293333333333;longe
0.0;0.296666666667;longe
0.0;0.3;longe
0.0;0.303333333333;longe
0.0;0.306666666667;longe
0.0;0.31;longe
0.0;0.313333333333;longe
0.0;0.316666666667;longe
0.0;0.32;longe
0.0;0.323333333333;longe
0.0;0.326666666667;longe
0.0;0.33;longe
0.0;0.333333333333;longe
0.0;0.336666666667;longe
0.0;0.34;longe
0.0;0.343333333333;longe
0.0;0.346666666667;longe
0.0;0.35;longe
0.0;0.353333333333;longe
0.0;0.356666666667;longe
0.0;0.36;longe
0.0;0.363333333333;longe
0.0;0.366666666667;longe
0.0;0.37;longe
0.0;0.373333333333;longe
0.0;0.376666666667;longe
0.0;0.38;longe
0.0;0.383333333333;longe
0.0;0.386666666667;longe
0.0;0.39;longe
0.0;0.393333333333;longe
0.0;0.396666666667;longe
0.0;0.4;longe
0.0;0.403333333333;longe
0.0;0.406666666667;longe
0.0;0.41;longe
0.0;0.413333333333;longe
0.0;0.416666666667;longe
0.0;0.42;longe
0.0;0.423333333333;longe
0.0;0.426666666667;longe
0.0;0.43;longe
0.0;0.433333333333;longe
0.0;0.436666666667;longe
0.0;0.44;longe
0.0;0.443333333333;longe
0.0;0.446666666667;longe
0.0;0.45;longe
0.0;0.453333333333;longe
0.0;0.456666666667;longe
0.0;0.46;longe
0.0;0.463333333333;longe
0.0;0.466666666667;longe
0.0;0.47;longe
0.0;0.473333333333;longe
0.0;0.476666666667;longe
0.0;0.48;longe
0.0;0.483333333333;longe
0.0;0.486666666667;longe
0.0;0.49;longe
0.0;0.493333333333;longe
0.0;0.496666666667;longe
0.0;0.5;longe
0.0;0.503333333333;longe
0.0;0.506666666667;longe
0.0;0.51;longe
0.0;0.513333333333;longe
0.0;0.516666666667;longe
0.0;0.52;longe
0.0;0.523333333333;longe
0.0;0.526666666667;longe
0.0;0.53;longe
0.0;0.533333333333;longe
0.0;0.536666666667;longe
0.0;0.54;longe
0.0;0.543333333333;longe
0.0;0.546666666667;longe
0.0;0.55;longe
0.0;0.553333333333;longe
0.0;0.556666666667;longe
0.0;0.56;longe
0.0;0.563333333333;longe
0.0;0.566666666667;longe
0.0;0.57;longe
0.0;0.573333333333;longe
0.0;0.576666666667;longe
0.0;0.58;longe
0.0;0.583333333333;longe
0.0;0.586666666667;longe
0.0;0.59;longe
0.0;0.593333333333;longe
0.0;0.596666666667;longe
0.0;0.6;longe
0.0;0.603333333333;longe
0.0;0.606666666667;longe
0.0;0.61;longe
0.0;0.613333333333;longe
0.0;0.616666666667;longe
0.0;0.62;longe
0.0;0.623333333333;longe
0.0;0.626666666667;longe
0.0;0.63;longe
0.0;0.633333333333;longe
0.0;0.636666666667;longe
0.0;0.64;longe
0.0;0.643333333333;longe
0.0;0.646666666667;longe
0.0;0.65;longe
0.0;0.653333333333;longe
0.0;0.656666666667;longe
0.0;0.66;longe
0.0;0.663333333333;longe
0.0;0.666666666667;longe
0.0;0.67;longe
0.0;0.673333333333;longe
0.0;0.676666666667;longe
0.0;0.68;longe
0.0;0.683333333333;longe
0.0;0.686666666667;longe
0.0;0.69;longe
0.0;0.693333333333;longe
0.0;0.696666666667;longe
0.0;0.7;longe
0.0;0.703333333333;longe
0.0;0.706666666667;longe
0.0;0.71;longe
0.0;0.713333333333;longe
0.0;0.716666666667;longe
0.0;0.72;longe
0.0;0.723333333333;longe
0.0;0.726666666667;longe
0.0;0.73;longe
0.0;0.733333333333;longe
0.0;0.736666666667;longe
0.0;0.74;longe
0.0;0.743333333333;longe
0.0;0.746666666667;longe
0.0;0.75;longe
0.0;0.753333333333;longe
0.0;0.756666666667;longe
0.0;0.76;longe
0.0;0.763333333333;longe
0.0;0.766666666667;longe
0.0;0.77;longe
0.0;0.773333333333;longe
0.0;0.776666666667;longe
0.0;0.78;longe
0.0;0.783333333333;longe
0.0;0.786666666667;longe
0.0;0.79;longe
0.0;0.793333333333;longe
0.0;0.796666666667;longe
0.0;0.8;longe
0.0;0.803333333333;longe
0.0;0.806666666667;longe
0.0;0.81;longe
0.0;0.813333333333;longe
0.0;0.816666666667;longe
0.0;0.82;longe
0.0;0.823333333333;longe
0.0;0.826666666667;longe
0.0;0.83;longe
0.0;0.833333333333;longe
0.0;0.836666666667;longe
0.0;0.84;longe
0.0;0.843333333333;longe
0.0;0.846666666667;longe
0.0;0.85;longe
0.0;0.853333333333;longe
0.0;0.856666666667;longe
0.0;0.86;longe
0.0;0.863333333333;longe
0.0;0.866666666667;longe
0.0;0.87;longe
0.0;0.873333333333;longe
0.0;0.876666666667;longe
0.0;0.88;longe
0.0;0.883333333333;longe
0.0;0.886666666667;longe
0.0;0.89;longe
0.0;0.893333333333;longe
0.0;0.896666666667;longe
0.0;0.9;longe
0.0;0.903333333333;longe
0.0;0.906666666667;longe
0.0;0.91;longe
0.0;0.913333333333;longe
0.0;0.916666666667;longe
0.0;0.92;longe
0.0;0.923333333333;longe
0.0;0.926666666667;longe
0.0;0.93;longe
0.0;0.933333333333;longe
0.0;0.936666666667;longe
0.0;0.94;longe
0.0;0.943333333333;longe
0.0;0.946666666667;longe
0.0;0.95;longe
0.0;0.953333333333;longe
0.0;0.956666666667;longe
0.0;0.96;longe
0.0;0.963333333333;longe
0.0;0.966666666667;longe
0.0;0.97;longe
0.0;0.973333333333;longe
0.0;0.976666666667;longe
0.0;0.98;longe
0.0;0.983333333333;longe
0.0;0.986666666667;longe
0.0;0.99;longe
0.0;0.993333333333;longe
0.0;0.996666666667;longe
0.0142857142857;0.0;longe
0.0142857142857;0.00333333333333;longe
0.0142857142857;0.00666666666667;longe
0.0142857142857;0.01;longe
0.0142857142857;0.0133333333333;longe
0.0142857142857;0.0166666666667;longe
0.0142857142857;0.02;longe
0.0142857142857;0.0233333333333;longe
0.0142857142857;0.0266666666667;longe
0.0142857142857;0.03;longe
0.0142857142857;0.0333333333333;longe
0.0142857142857;0.0366666666667;longe
0.0142857142857;0.04;longe
0.0142857142857;0.0433333333333;longe
0.0142857142857;0.0466666666667;longe
0.0142857142857;0.05;longe
0.0142857142857;0.0533333333333;longe
0.0142857142857;0.0566666666667;longe
0.0142857142857;0.06;longe
0.0142857142857;0.0633333333333;longe
0.0142857142857;0.0666666666667;longe
0.0142857142857;0.07;longe
0.0142857142857;0.0733333333333;longe
0.0142857142857;0.0766666666667;longe
0.0142857142857;0.08;longe
0.0142857142857;0.0833333333333;longe
0.0142857142857;0.0866666666667;longe
0.0142857142857;0.09;longe
0.0142857142857;0.0933333333333;longe
0.0142857142857;0.0966666666667;longe
